factor,n,bars,count,mean,median,status
BollingWidth,120,72,1440,0.022998409123157044,0.0012473993899483108,success
BollingWidth,72,72,1500,0.019498699176198023,0.0010400986149632018,success
BollingWidth,312,72,1120,0.018695130076269127,0.0011843170898567664,success
BollingWidth,192,72,1320,0.019238948055279936,0.0011439985645728987,success
BollingWidth,816,72,280,0.023765359260607688,0.002186791661218693,success
BollingWidth,504,72,800,0.018496644347229866,0.0009377645729671444,success
